E_nu[GeV] muCC mu_barCC eCC e_barCC tauCC tau_barCC nuNC nu_barNC
0.01 0 0 0 0 0 0 0 0
0.03 0 0 0 0 0 0 0 0
0.05 0 0 0 0 0 0 0 0
0.07 0 0 0 0 0 0 0 0
0.09 0 0 0 0 0 0 0 0
0.11 0 1.99309 49.9751 33.9267 0 0 78.7362 50.9406
0.13 4.71574 12.5016 67.5495 38.7067 0 0 116.95 64.9101
0.15 53.436 15.2516 81.5779 39.8697 0 0 129.797 71.858
0.17 58.1966 25.429 89.9602 40.5293 0 0 144.687 71.7185
0.19 77.3211 34.0393 97.9089 40.9105 0 0 150.248 75.081
0.21 70.2295 31.3729 97.918 40.1661 0 0 149.076 72.1466
0.23 88.241 34.6061 101.744 37.8259 0 0 155.278 72.6667
0.25 92.9562 34.6573 106.873 38.032 0 0 161.908 72.4106
0.27 92.4063 32.8849 111.623 37.8166 0 0 156.154 69.1212
0.29 118.333 39.4659 103.221 35.3234 0 0 168.043 70.9648
0.31 122.356 39.3978 106.616 35.0457 0 0 167.959 69.8916
0.33 94.6807 31.1775 101.725 31.7693 0 0 141.808 58.5782
0.35 110.133 35.2126 106.836 32.7441 0 0 149.929 62.0311
0.37 98.0208 30.136 96.6734 29.5472 0 0 139.751 55.5195
0.39 107.545 33.2124 104.051 31.4626 0 0 149.413 59.5625
0.41 99.2596 29.3169 92.6856 27.7019 0 0 130.938 51.6266
0.43 105.507 31.7089 99.6431 29.2181 0 0 139.183 54.4635
0.45 99.9145 32.097 92.7168 26.4264 0 0 128.047 50.0637
0.47 98.3837 29.3514 90.8409 26.6207 0 0 123.45 48.2023
0.49 108.687 32.5609 96.2341 27.748 0 0 130.181 50.6362
0.51 95.293 29.4104 84.4321 24.0084 0 0 114.303 44.3603
0.53 99.198 29.5292 88.0994 24.6507 0 0 115.586 44.253
0.55 130.124 37.2952 92.9562 26.6218 0 0 132.981 51.4507
0.57 84.2181 25.4069 79.1041 22.226 0 0 100.396 38.2072
0.59 77.7867 22.035 80.8659 22.3969 0 0 95.7237 37.5193
0.61 83.2288 23.6166 82.4676 22.4084 0 0 98.0757 36.2458
0.63 94.7409 27.9121 77.9823 21.5871 0 0 99.4756 39.1272
0.65 97.9099 28.0028 70.2988 20.0366 0 0 94.4993 37.8839
0.67 88.0391 27.4089 72.9777 19.8636 0 0 91.3983 35.3297
0.69 92.9678 26.4651 75.3179 21.4438 0 0 93.9438 35.7415
0.71 91.5581 27.1884 72.0056 19.8914 0 0 88.3609 34.2594
0.73 81.3229 24.1484 66.5874 18.9318 0 0 81.9284 31.5961
0.75 81.2672 23.2007 66.1429 18.0728 0 0 80.7074 31.3589
0.77 79.8283 23.4697 66.2538 18.4914 0 0 78.7302 31.3273
0.79 84.7953 26.1088 63.158 17.8202 0 0 78.0818 30.1013
0.81 74.6102 22.5098 59.0981 16.579 0 0 71.2969 27.6396
0.83 80.0498 23.3869 60.9615 17.0427 0 0 72.3601 29.0273
0.85 75.9345 23.7858 60.3861 17.2069 0 0 71.9391 28.3749
0.87 74.0626 22.9959 58.1117 16.7823 0 0 68.8642 27.925
0.89 71.9728 22.2359 53.7159 15.6689 0 0 64.9092 25.1311
0.91 68.7969 20.5319 51.675 14.6123 0 0 60.9011 24.5251
0.93 68.5864 22.0465 53.1263 15.7287 0 0 63.8458 25.6301
0.95 67.2681 21.2055 52.2733 14.9931 0 0 60.8438 23.8671
0.97 65.0688 20.0598 49.7696 14.9576 0 0 57.135 24.1764
0.99 66.0083 20.854 49.4746 14.8817 0 0 59.1183 23.5442
1.01 61.3521 19.2213 45.9102 13.3763 0 0 54.9149 21.5145
1.03 63.1684 20.9015 46.3733 14.3598 0 0 53.5865 22.4156
1.05 59.8029 19.4147 45.2653 13.4424 0 0 52.5356 22.1115
1.07 58.3971 18.9839 44.61 13.0912 0 0 51.5026 21.1963
1.09 59.4147 19.8761 43.9382 13.8959 0 0 50.7884 21.079
1.11 63.1147 20.7282 47.0086 13.9589 0 0 53.8437 22.1461
1.13 50.3217 17.3667 37.5395 11.7546 0 0 43.3736 17.935
1.15 51.9108 17.0929 36.7864 11.918 0 0 43.1655 18.552
1.17 52.1195 18.1264 38.5752 11.9751 0 0 44.4765 18.7929
1.19 53.1642 18.5259 39.6937 12.1384 0 0 46.3252 19.3474
1.21 49.9139 17.1673 36.2105 11.4102 0 0 42.59 17.4993
1.23 50.7342 17.6304 37.0082 11.6904 0 0 41.9087 18.3953
1.25 58.7367 21.605 38.9152 12.4198 0 0 45.3896 19.0015
1.27 42.036 15.2568 32.9189 10.5112 0 0 37.9671 16.1506
1.29 44.0015 14.9277 33.0405 10.3038 0 0 37.6693 16.3361
1.31 45.0568 15.8736 32.224 10.296 0 0 37.3374 15.7337
1.33 45.7811 16.5819 32.7938 10.7766 0 0 38.6021 16.9179
1.35 45.5464 15.6883 32.4044 10.2933 0 0 37.0633 15.9199
1.37 43.1929 15.5179 30.6836 10.2149 0 0 35.2463 15.6993
1.39 44.4954 16.0194 31.4849 10.1433 0 0 36.0226 15.2171
1.41 49.1313 18.1422 32.1084 10.561 0 0 37.3986 16.3701
1.43 35.6824 13.0418 27.0455 8.74409 0 0 31.3266 13.8786
1.45 37.2954 13.5542 27.341 9.17126 0 0 31.7069 13.5134
1.47 40.539 13.8783 27.3169 9.21175 0 0 31.3779 13.8612
1.49 39.4523 15.1138 28.6242 9.39024 0 0 32.9855 14.3907
1.51 37.5593 14.2534 26.0348 8.75195 0 0 30.2802 13.2958
1.53 38.3424 13.8545 26.3739 8.72014 0 0 30.0485 13.7374
1.55 39.0345 15.0064 26.924 9.46191 0 0 31.6979 13.5011
1.57 39.3334 15.2294 27.0756 8.83425 0 0 30.5463 13.7399
1.59 31.6602 12.0591 22.0458 7.55695 0 0 25.8769 11.4831
1.61 34.5615 12.6106 23.5047 8.36762 0 0 26.9675 12.0386
1.63 34.2939 12.4631 23.9221 8.05937 0 0 27.8322 12.5882
1.65 33.4611 12.5246 23.4925 7.63878 0 0 27.309 12.0286
1.67 33.3387 12.2932 22.9924 8.11746 0 0 25.9013 11.7537
1.69 32.8793 13.1534 22.2271 7.71369 0 0 26.6952 11.6624
1.71 31.8092 12.0599 21.8322 7.46941 0 0 25.3497 11.1834
1.73 31.8109 12.3837 21.3257 7.4997 0 0 24.7976 11.2647
1.75 33.7286 13.4553 21.7653 7.78589 0 0 25.5461 11.6691
1.77 34.693 13.8531 22.3859 7.60618 0 0 25.6508 11.5781
1.79 23.6549 9.39744 17.3679 6.24963 0 0 20.495 9.30319
1.81 28.4018 11.1557 19.8314 7.06279 0 0 23.0203 10.2402
1.83 29.8516 11.5747 19.2239 6.84466 0 0 22.8776 10.7145
1.85 28.5057 11.0949 19.4539 6.92772 0 0 22.1289 9.39036
1.87 28.2918 10.544 18.5183 6.73006 0 0 22.112 10.0515
1.89 27.3058 10.7788 19.0027 6.38622 0 0 21.5979 10.2444
1.91 26.2005 10.5706 17.8328 5.94915 0 0 21.1821 9.59097
1.93 27.1368 10.5432 17.8585 6.74921 0 0 21.0311 9.3989
1.95 26.7812 10.7325 17.6207 6.2768 0 0 19.9634 9.48222
1.97 26.5917 10.5924 17.6124 6.41599 0 0 20.3075 9.29667
1.99 24.6194 10.11 16.4412 5.87009 0 0 19.6456 8.79342
2.01 24.3866 9.90637 16.1733 5.74879 0 0 19.3448 8.55041
2.03 25.1815 10.2464 16.4519 6.14644 0 0 19.09 8.9183
2.05 24.8 9.84152 16.0237 5.545 0 0 18.9311 8.53651
2.07 24.2802 9.21891 16.1278 5.70149 0 0 18.1801 8.5257
2.09 23.869 9.65692 15.3711 5.72946 0 0 18.3771 8.35788
2.11 23.3941 8.95204 14.8883 5.50978 0 0 17.5501 8.21758
2.13 23.014 9.43859 15.179 5.6729 0 0 17.5927 8.24873
2.15 22.7285 9.22124 14.8199 5.13058 0 0 18.013 7.94425
2.17 21.9043 8.82151 14.6897 5.42041 0 0 16.6611 7.74907
2.19 22.0274 9.15889 14.6171 5.27948 0 0 17.1045 7.81687
2.21 21.9904 9.04926 15.0679 5.13281 0 0 17.3638 7.65294
2.23 22.3139 9.6044 13.9766 5.44933 0 0 16.4449 7.89974
2.25 18.8381 7.73218 12.2443 4.31932 0 0 14.5088 6.65031
2.27 19.9466 7.84351 12.9992 5.0621 0 0 15.6696 7.30032
2.29 20.8513 8.5628 13.6501 4.72903 0 0 15.76 7.22167
2.31 20.1324 8.26628 12.7355 4.62634 0 0 15.7862 6.7521
2.33 20.082 8.57327 13.0705 4.86312 0 0 14.6653 7.16064
2.35 18.9124 8.24214 12.3425 4.59283 0 0 14.6676 6.6864
2.37 19.5649 7.64486 12.5293 4.76639 0 0 14.7075 6.8769
2.39 19.5719 8.51079 12.6696 4.58688 0 0 14.7214 6.91114
2.41 19.1025 7.70735 12.1991 4.36602 0 0 13.9332 6.14007
2.43 18.3035 7.75275 11.8338 4.51149 0 0 14.1406 6.95399
2.45 18.57 7.80975 11.5257 4.17288 0 0 13.7044 6.15653
2.47 17.8651 7.39563 11.383 4.49847 0 0 13.3282 6.54426
2.49 18.4586 7.47038 11.624 4.11192 0 0 13.9467 6.26892
2.51 21.1574 8.79417 12.3092 4.79577 0 0 14.8684 7.37644
2.53 15.9149 6.40112 10.1552 3.528 0 0 12.0842 5.23434
2.55 15.3252 6.77145 10.1702 3.79992 0 0 11.9392 5.71031
2.57 17.3052 6.79248 10.7585 3.96816 0 0 12.6713 5.61167
2.59 16.9209 6.55169 10.9082 3.8905 0 0 12.5549 6.29297
2.61 16.4785 6.83524 10.2168 3.80192 0 0 12.1426 5.6351
2.63 16.4964 6.65872 10.3397 3.8923 0 0 12.2481 5.59835
2.65 16.0039 6.97206 10.3935 3.72071 0 0 12.1151 5.42738
2.67 15.8458 6.65955 10.1877 3.54536 0 0 11.5184 5.23467
2.69 15.9638 6.55952 10.0169 4.11951 0 0 12.194 5.69736
2.71 14.9118 6.24297 9.91656 3.21231 0 0 11.5554 5.35055
2.73 15.6939 6.60036 9.65498 3.90462 0 0 11.3262 5.15951
2.75 15.4493 7.18544 9.51763 3.66351 0 0 11.5336 5.35087
2.77 15.1065 6.41204 9.39296 3.56886 0 0 10.8911 5.42577
2.79 14.8545 6.30336 9.19456 3.49484 0 0 11.0665 5.10633
2.81 18.0448 8.11609 10.764 3.99305 0 0 12.6208 6.07927
2.83 11.864 5.2634 7.5622 2.85572 0 0 9.47639 4.28832
2.85 12.9617 5.18219 8.73632 3.1129 0 0 9.97977 4.48849
2.87 13.7405 5.65627 8.64991 3.39058 0 0 10.27 4.82271
2.89 14.4499 6.06208 8.67371 3.18073 0 0 10.2262 4.82223
2.91 13.6041 5.43012 8.70088 3.21094 0 0 9.61995 4.3383
2.93 13.6082 5.68274 8.35471 3.05044 0 0 10.1334 4.68134
2.95 13.3987 5.65969 8.55033 3.29744 0 0 9.99088 4.65407
2.97 13.3776 5.74747 8.1529 2.98574 0 0 10.1163 4.43936
2.99 13.3975 5.72845 8.26497 3.14305 0 0 9.73598 4.45768
3.01 13.3364 5.65812 7.839 3.12703 0 0 9.78626 4.10409
3.03 12.4954 5.45749 8.02664 3.16409 0 0 9.33137 4.80059
3.05 12.975 5.72785 8.27442 2.93237 0 0 9.32003 4.56289
3.07 12.5935 5.29717 7.92736 2.97594 0 0 9.24519 4.09341
3.09 12.8613 5.40572 7.484 2.86183 0 0 9.14207 4.46966
3.11 11.6449 5.02939 7.55272 2.63325 0 0 8.80291 4.28264
3.13 12.5078 5.46296 7.27283 2.98699 0 0 9.2827 4.26804
3.15 14.9109 6.06644 8.79262 3.24753 0 0 9.56131 4.42092
3.17 11.012 4.73155 6.63705 2.62607 0 0 8.57798 3.74802
3.19 10.4254 4.18632 6.67259 2.21277 0 0 7.58506 3.51172
3.21 11.5788 4.49643 7.08068 2.55733 0 0 8.42836 3.61652
3.23 11.5558 4.78323 6.94669 2.69616 0 0 8.22372 3.76626
3.25 11.4026 4.89264 7.21028 2.25125 0 0 8.51693 3.93946
3.27 11.5593 4.76883 6.7591 2.54112 0 0 8.07705 3.91106
3.29 11.3204 4.73997 7.01977 2.55399 0 0 8.19821 3.97688
3.31 11.0738 4.60263 6.72305 2.53233 0 0 7.56297 3.82386
3.33 11.2841 4.76507 6.81571 2.53658 0 0 8.53178 3.78797
